Geography,Name,Level,year,"<= $20,000","$20,001 -
$40,000","$40,001 -
$60,000","$60,001 -
$100,000","$100,001 -
$250,000","> $250,000"
BK 08,Crown Heights/Prospect Heights,Community District,2000,20.6%,16.8%,15.3%,21.8%,22.0%,3.5%
BK 08,Crown Heights/Prospect Heights,Community District,2020-2024,14.3%,10.5%,11.1%,17.2%,32.9%,14.0%
BK 09,South Crown Heights/Lefferts Gardens,Community District,2000,17.5%,15.8%,17.9%,21.9%,23.7%,3.2%
BK 09,South Crown Heights/Lefferts Gardens,Community District,2020-2024,15.4%,12.4%,12.7%,18.8%,31.8%,8.9%
BK 10,Bay Ridge/Dyker Heights,Community District,2000,10.4%,13.9%,12.6%,22.7%,31.9%,8.6%
BK 10,Bay Ridge/Dyker Heights,Community District,2020-2024,9.6%,13.3%,10.5%,20.7%,34.0%,11.8%
BK 11,Bensonhurst,Community District,2000,18.0%,16.7%,12.8%,21.6%,26.9%,4.0%
BK 11,Bensonhurst,Community District,2020-2024,14.4%,15.1%,13.6%,22.0%,29.0%,5.9%
BK 12,Borough Park,Community District,2000,18.8%,17.4%,13.7%,19.6%,25.8%,4.7%
BK 12,Borough Park,Community District,2020-2024,12.6%,17.2%,14.2%,20.2%,28.3%,7.5%
BK 13,Coney Island,Community District,2000,26.8%,19.2%,13.1%,18.9%,19.2%,2.8%
BK 13,Coney Island,Community District,2020-2024,24.1%,16.4%,16.0%,17.2%,21.3%,4.9%
BK 14,Flatbush/Midwood,Community District,2000,17.4%,14.9%,14.0%,22.4%,26.2%,5.3%
BK 14,Flatbush/Midwood,Community District,2020-2024,12.8%,12.9%,11.6%,20.8%,32.2%,9.6%
BK 15,Sheepshead Bay,Community District,2000,15.3%,15.1%,12.9%,19.4%,30.5%,6.8%
BK 15,Sheepshead Bay,Community District,2020-2024,14.3%,14.2%,13.7%,19.9%,29.7%,8.2%
BK 16,Brownsville,Community District,2000,30.4%,19.4%,16.2%,17.9%,14.6%,1.4%
BK 16,Brownsville,Community District,2020-2024,26.2%,17.7%,14.6%,18.0%,21.1%,2.4%
BK 17,East Flatbush,Community District,2000,12.1%,16.7%,16.8%,22.5%,28.3%,3.6%
BK 17,East Flatbush,Community District,2020-2024,13.9%,14.7%,12.9%,23.5%,29.9%,5.1%
BK 18,Flatlands/Canarsie,Community District,2000,9.6%,10.6%,11.5%,21.6%,39.7%,7.0%
BK 18,Flatlands/Canarsie,Community District,2020-2024,9.8%,13.3%,12.0%,20.0%,35.1%,9.9%
MN 01,Financial District,Community District,2000,7.3%,8.2%,9.0%,16.2%,34.2%,25.1%
MN 01,Financial District,Community District,2020-2024,6.2%,4.9%,5.1%,11.4%,32.8%,39.7%
MN 02,Greenwich Village/Soho,Community District,2000,7.3%,8.2%,9.0%,16.2%,34.2%,25.1%
MN 02,Greenwich Village/Soho,Community District,2020-2024,6.2%,4.9%,5.1%,11.4%,32.8%,39.7%
MN 03,Lower East Side/Chinatown,Community District,2000,20.5%,20.3%,13.1%,21.0%,19.7%,5.5%
MN 03,Lower East Side/Chinatown,Community District,2020-2024,22.9%,14.5%,11.2%,13.7%,25.5%,12.2%
MN 04,Clinton/Chelsea,Community District,2000,10.2%,10.6%,9.1%,18.3%,32.8%,19.0%
MN 04,Clinton/Chelsea,Community District,2020-2024,9.3%,9.9%,9.2%,13.9%,32.5%,25.2%
MN 05,Midtown,Community District,2000,10.2%,10.6%,9.1%,18.3%,32.8%,19.0%
MN 05,Midtown,Community District,2020-2024,9.3%,9.9%,9.2%,13.9%,32.5%,25.2%
MN 06,Stuyvesant Town/Turtle Bay,Community District,2000,5.8%,6.8%,8.6%,17.5%,37.9%,23.4%
MN 06,Stuyvesant Town/Turtle Bay,Community District,2020-2024,8.3%,6.8%,5.4%,12.8%,36.5%,30.1%
